company,repository,link,hash,subject,message,changed_file,commit_labels,file_labels
rackspace,solum,http://github.com/openstack/solum/commit/8a19f79928cc3b082d6159343bc36435a57f2059,8a19f79928cc3b082d6159343bc36435a57f2059,Fix _start_build,- Add a test for start_build- pass the context into image.save()- use Popen instead of check_output (to support py2.6)Change-Id: I8d63b1034f623ffa60906946ce7889d68a7ebbb6," 2 files changed, 26 insertions(+), 6 deletions(-)",fix,test-1;code-1
oracle,kolla-cli,http://github.com/openstack/kolla-cli/commit/76aa503aa613984a97337459e15eb6c13ebc6f89,76aa503aa613984a97337459e15eb6c13ebc6f89,allow property set of empty string,"- allow property value to be set to an empty string- fix pep8 doc issue- if a double quote makes it into the property value,throw as this will cause property list to later throwan exception. (property set foo """" is not a problemas the quotes are stripped off. But property set foo \""is a problem.)- add utest for setting empty stringJira-Issue: OPENSTACK-986"," 3 files changed, 19 insertions(+), 3 deletions(-)",fix,test-1;code-2
intel,swift,http://github.com/openstack/swift/commit/81d4673674febdbe0bba6e27a6d24739456eb3c4,81d4673674febdbe0bba6e27a6d24739456eb3c4,Delete old tombstones,- Call invalidate_hash in auditor for reclaimable tombstones- assert changed auditor behavior with a unit test- driveby test: assert get_hashes behavior with a unit testCo-Authored-By: Pete Zaitcev <zaitcev@redhat.com>Co-Authored-By: Kota Tsuyuzaki <tsuyuzaki.kota@lab.ntt.co.jp>Closes-Bug: #1301728Change-Id: I3e99dc702d55a7424c6482969e03cb4afac854a4," 3 files changed, 222 insertions(+), 13 deletions(-)",fix,test-2;code-1
intel,collectd-openstack-plugins,http://github.com/openstack/collectd-openstack-plugins/commit/4180fb5a76896a5aa99bf00baa7bb1a86884b716,4180fb5a76896a5aa99bf00baa7bb1a86884b716,Updated _get_alarm_state function,"- Get the state of an alarm based on the severity of the collectdnotification that is sent and not the message.- Added a bug fix reno for this.- Reduced the probability that the state will return ""insufficientdata"".Change-Id: Ic993337aa49aed1d189708f5d8cd3935e6d1bbe1Closes-bug: #1681392Closes-bug: #1672301"," 4 files changed, 106 insertions(+), 39 deletions(-)",fix,test-1;doc-1;code-2
at&t,fuel-octane,http://github.com/openstack/fuel-octane/commit/0af1b6517a97589a401328f09f3bf56d84db9dbd,0af1b6517a97589a401328f09f3bf56d84db9dbd,Graph-based upgrade-ceph. Puppet part.,"- Graphs and puppet manifests part- Delete lib from .gitignore- Augeas lens for Ceph is copied and pasted, should be switched to theversion from the upstream when [0] is merged and published.[0] https://github.com/hercules-team/augeas/pull/401Change-Id: I639cbf786971fea8c56b4da6b2661477b3b12c41"," 15 files changed, 325 insertions(+), 1 deletion(-)",,build-1;deploy-14
plumgrid,openstack-ansible-os_neutron,http://github.com/openstack/openstack-ansible-os_neutron/commit/b94bd9a1808ee9eabc23de0fc54e244e5d0429a3,b94bd9a1808ee9eabc23de0fc54e244e5d0429a3,Update plumgrid plugin installation from pip to deb,- Installation for networking-plumgrid has been updated frompip to debian.- Installs debian using apt- Links files inside venv in case of virtualenvChange-Id: Id63f69690c5025175846a0a0db9e87292dd17d90Signed-off-by: alij <alij@plumgrid.com>," 2 files changed, 25 insertions(+), 25 deletions(-)",,deploy-2
midokura,neutron-fwaas,http://github.com/openstack/neutron-fwaas/commit/44c3d3d29bf3849a18211452ac910f4cd0af60f7,44c3d3d29bf3849a18211452ac910f4cd0af60f7,gate_hook: Stop including localrc,- It isn't necessary (stackrc should be enough)- It's incompatible with recent gate changes to support local.conf [1]Also stopped using _list_* methods for tempest tests since they wereremoved in tempest.[1] http://lists.openstack.org/pipermail/openstack-dev/2017-February/112872.htmlCloses-Bug: #1667736Related-Bug: #1667824Change-Id: Ib4c9d086bd8c1d5c02be7ba47bdd306f0813659f," 2 files changed, 3 insertions(+), 3 deletions(-)",fix;deprecate,test-2
godaddy,anvil,http://github.com/openstack/anvil/commit/a2cf1a6f2908a433e40d3767e074cc7e66eec73e,a2cf1a6f2908a433e40d3767e074cc7e66eec73e,Fix things to actually work in the gate,"- Remove bashate section as it's causing flake8 to pukeand remove the py26 tox env, as that no longer exists andis used anyway.- Unlock the pylint version, since it appears to not beworking anymore, and a newer version shouldbe working.Change-Id: If57bd386d86fc0f7041ac91bd225d2a272e471cb"," 5 files changed, 8 insertions(+), 50 deletions(-)",fix;deprecate,code-1;build-3;deploy-1
lsd ufcg,puppet-octavia,http://github.com/openstack/puppet-octavia/commit/cf115ac40320787c3512b697fbec7333f4b55b82,cf115ac40320787c3512b697fbec7333f4b55b82,Move octavia to authtoken,- Remove keystone parameters from api.pp- Add a octavia::keystone::authtoken class to configureall keystone middleware optionsChange-Id: I6a4b6670343ddf79b87f1d9ef259c3284093ac06," 5 files changed, 422 insertions(+), 58 deletions(-)",deprecate,deploy-5
lsd ufcg,puppet-openstack-cookiecutter,http://github.com/openstack/puppet-openstack-cookiecutter/commit/5d83aff5dbe16ceaeffd4b6463b458469a8ac862,5d83aff5dbe16ceaeffd4b6463b458469a8ac862,Update cookiecutter," remove real from db.pp- remove unused variables in params.pp,because we are usinig oslo to manage db.- change log_facility to syslog_log_facility,update tests.Change-Id: If2154a8d2ae114aec568ccd3d82760c94d2c495f"," 4 files changed, 27 insertions(+), 39 deletions(-)",deprecate,deploy-4
lsd ufcg,puppet-openstack-guide,http://github.com/openstack/puppet-openstack-guide/commit/a177eb13890ddf4657960cb4418e8237783a3b0b,a177eb13890ddf4657960cb4418e8237783a3b0b,Restructure Puppet OpenStack Guide,- The Guide now have only 7 main topics:* Getting Started* How to Contribute* Community* Talk to us* OpenStack Module List* Continuous Integration* ReleasesChange-Id: Ie8a875ab374b4f2058f030954e30f7775228d371," 18 files changed, 262 insertions(+), 184 deletions(-)",,test-2;doc-16
dell,fuel-ccp-nova,http://github.com/openstack/fuel-ccp-nova/commit/e54e49d122060153765e31964f8d3628c93dfd59,e54e49d122060153765e31964f8d3628c93dfd59,"Remove ""bool"" filter","""bool"" filter doesn't work when boolean value is providedand we don't really want to convert strings to bool. We shouldexplicitly define bool values and validate them with schemaChange-Id: I1163d52f0dc938e918ca09f5076ee032e5a7fd2c"," 2 files changed, 5 insertions(+), 5 deletions(-)",deprecate,deploy-2
h3c,openstack-manuals,http://github.com/openstack/openstack-manuals/commit/6319dc5c1752501c701af18dc16fda44ad53f2c7,6319dc5c1752501c701af18dc16fda44ad53f2c7,[admin-guide] Fix the typo,"""overcommiting"" becomes ""overcommitting"".Closes-Bug: #1604717Change-Id: I0ac21f9b43d6bfe483eab0776075b446c9e591fb"," 1 file changed, 1 insertion(+), 1 deletion(-)",fix,doc-1
rackspace,cloudcafe,http://github.com/openstack/cloudcafe/commit/db7bc6d1261da9c2a57a829b7ad846d49153e80a,db7bc6d1261da9c2a57a829b7ad846d49153e80a,Added normalization of IPv6 addresses,* Added IPy IPv6 normalization to server and address modelsChange-Id: I1ee8156c9a392620604e9f8738b6e43a124c2091," 1 file changed, 17 insertions(+), 5 deletions(-)",,code-1
