id,name,url,project_id,centrality
1,charm-ceph-mon,http://github.com/openstack/charm-ceph-mon,32,2
2,charm-lxd,http://github.com/openstack/charm-lxd,32,2
3,charm-interface-keystone-domain-backend,http://github.com/openstack/charm-interface-keystone-domain-backend,32,2
4,sushy,http://github.com/openstack/sushy,17,2
5,charm-neutron-api,http://github.com/openstack/charm-neutron-api,32,2
6,horizon,http://github.com/openstack/horizon,14,2
7,rsd-lib,http://github.com/openstack/rsd-lib,NULL,NULL
8,charm-vault,http://github.com/openstack/charm-vault,32,3
9,charm-interface-manila-plugin,http://github.com/openstack/charm-interface-manila-plugin,32,2
10,keystonemiddleware,http://github.com/openstack/keystonemiddleware,19,2
11,kayobe,http://github.com/openstack/kayobe,64,3
12,murano,http://github.com/openstack/murano,28,2
13,puppet-openstack-integration,http://github.com/openstack/puppet-openstack-integration,42,2
14,tripleo-upgrade,http://github.com/openstack/tripleo-upgrade,57,2
15,openstack-ansible-os_keystone,http://github.com/openstack/openstack-ansible-os_keystone,35,2
16,charm-interface-nova-compute,http://github.com/openstack/charm-interface-nova-compute,32,2
17,tripleo-quickstart,http://github.com/openstack/tripleo-quickstart,57,2
18,vmware-nsx,http://github.com/openstack/vmware-nsx,217,3
19,tripleo-common,http://github.com/openstack/tripleo-common,57,2
20,tripleo-quickstart-extras,http://github.com/openstack/tripleo-quickstart-extras,57,2
21,kayobe-config-dev,http://github.com/openstack/kayobe-config-dev,64,3
22,neutron-specs,http://github.com/openstack/neutron-specs,29,2
23,charm-swift-proxy,http://github.com/openstack/charm-swift-proxy,32,2
24,openstack-helm-images,http://github.com/openstack/openstack-helm-images,34,2
25,neutron,http://github.com/openstack/neutron,29,2
26,aodh,http://github.com/openstack/aodh,55,2
27,charm-odl-controller,http://github.com/openstack/charm-odl-controller,32,2
28,stackalytics,http://github.com/openstack/stackalytics,65,3
29,cinder,http://github.com/openstack/cinder,4,2
30,charm-cinder-backup,http://github.com/openstack/charm-cinder-backup,32,2
31,keystone,http://github.com/openstack/keystone,19,2
32,puppet-tripleo,http://github.com/openstack/puppet-tripleo,57,2
33,charm-glance-simplestreams-sync,http://github.com/openstack/charm-glance-simplestreams-sync,32,2
34,charm-cinder,http://github.com/openstack/charm-cinder,32,2
35,charm-swift-storage,http://github.com/openstack/charm-swift-storage,32,2
36,charm-ceilometer-agent,http://github.com/openstack/charm-ceilometer-agent,32,2
37,charm-ironic,http://github.com/openstack/charm-ironic,32,2
38,charm-ceilometer,http://github.com/openstack/charm-ceilometer,32,2
39,charm-cinder-ceph,http://github.com/openstack/charm-cinder-ceph,32,2
40,charm-glance,http://github.com/openstack/charm-glance,32,2
41,charm-rabbitmq-server,http://github.com/openstack/charm-rabbitmq-server,32,2
42,charm-heat,http://github.com/openstack/charm-heat,32,2
43,charm-nova-compute-proxy,http://github.com/openstack/charm-nova-compute-proxy,32,2
44,charm-keystone,http://github.com/openstack/charm-keystone,32,2
45,zaqar-ui,http://github.com/openstack/zaqar-ui,62,2
46,charm-neutron-gateway,http://github.com/openstack/charm-neutron-gateway,32,2
47,magnum-tempest-plugin,http://github.com/openstack/magnum-tempest-plugin,23,2
48,charm-nova-cloud-controller,http://github.com/openstack/charm-nova-cloud-controller,32,2
49,vitrage,http://github.com/openstack/vitrage,59,2
50,vitrage-specs,http://github.com/openstack/vitrage-specs,59,2
51,storlets,http://github.com/openstack/storlets,52,2
52,mistral,http://github.com/openstack/mistral,26,2
53,charm-openstack-dashboard,http://github.com/openstack/charm-openstack-dashboard,32,2
54,charm-ceph-osd,http://github.com/openstack/charm-ceph-osd,32,2
55,charm-neutron-openvswitch,http://github.com/openstack/charm-neutron-openvswitch,32,2
56,sahara-plugin-mapr,http://github.com/openstack/sahara-plugin-mapr,48,2
57,monasca-api,http://github.com/openstack/monasca-api,27,2
58,masakari,http://github.com/openstack/masakari,25,2
59,charm-neutron-api-odl,http://github.com/openstack/charm-neutron-api-odl,32,2
60,charm-manila,http://github.com/openstack/charm-manila,32,2
61,freezer-api,http://github.com/openstack/freezer-api,11,2
62,charm-neutron-api-genericswitch,http://github.com/openstack/charm-neutron-api-genericswitch,32,2
63,openstack-ansible,http://github.com/openstack/openstack-ansible,35,2
64,charm-specs,http://github.com/openstack/charm-specs,32,2
